レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
199901010611,1999年8月22日,11,第35回札幌記念,G2,芝右,2000,曇,良,15:35,1回札幌6日目,4歳以上オープン(混)(特指)(別定),
199901020311,1999年9月11日,11,第4回エルムステークス,G3,ダ右,1700,曇,稍重,15:35,2回札幌3日目,4歳以上オープン(混)(指)(別定),
199901020711,1999年9月25日,11,第34回札幌3歳ステークス,G3,芝右,1800,晴,重,15:50,2回札幌7日目,3歳オープン(混)(特指)(馬齢),
199902010811,1999年7月4日,11,第35回函館記念,G3,芝右,2000,曇,良,15:35,1回函館8日目,4歳以上オープン(混)(特指)(ハンデ),
199902020411,1999年7月18日,11,第6回函館スプリントS,G3,芝右,1200,晴,良,15:35,2回函館4日目,4歳以上オープン(混)(特指)(別定),
199902020811,1999年8月1日,11,第31回函館3歳ステークス,G3,芝右,1200,曇,良,15:35,2回函館8日目,3歳オープン(混)(特指)(馬齢),
199903010611,1999年7月4日,11,第48回ラジオたんぱ賞,G3,芝右,1800,晴,良,15:40,1回福島6日目,4歳オープン(混)(特指)(別定),
199903010711,1999年7月10日,11,第35回七夕賞,G3,芝右,2000,曇,良,15:40,1回福島7日目,4歳以上オープン(混)[指](ハンデ),
199903020811,1999年10月24日,11,第53回カブトヤマ記念,G3,芝右,1800,晴,良,15:25,2回福島8日目,4歳以上オープン(父)(特指)(ハンデ),
199903030811,1999年11月21日,11,第35回福島記念,G3,芝右,2000,晴,良,15:10,3回福島8日目,4歳以上オープン(混)(特指)(ハンデ),
199904010610,1999年5月16日,10,第21回新潟大賞典,G3,芝右 外,2000,曇,良,15:05,1回新潟6日目,4歳以上オープン(混)[指](ハンデ),
199904020811,1999年8月8日,11,第34回関屋記念,G3,芝右 外,1600,晴,良,15:40,2回新潟8日目,4歳以上オープン(混)(特指)(別定),
199904030510,1999年8月28日,10,第1回新潟ジャンプS,J.G3,障芝 外,3200,曇,稍重,15:05,3回新潟5日目,障害4歳以上オープン(混)(ハンデ),
199904030611,1999年8月29日,11,第35回新潟記念,G3,芝右 外,2000,曇,重,15:40,3回新潟6日目,4歳以上オープン(混)(特指)(ハンデ),
199904030811,1999年9月5日,11,第19回新潟3歳ステークス,G3,芝右,1400,晴,良,15:40,3回新潟8日目,3歳オープン(混)(特指)(馬齢),
199905010211,1999年1月31日,11,第16回フェブラリーS,G1,ダ左,1600,晴,良,15:40,1回東京2日目,4歳以上オープン(混)(指)(定量),
199905010411,1999年2月7日,11,第49回東京新聞杯,G3,芝左,1600,晴,良,15:40,1回東京4日目,4歳以上オープン(混)[指](別定),
199905010611,1999年2月14日,11,第33回共同通信杯4歳S,G3,芝左,1800,晴,良,15:40,1回東京6日目,4歳オープン(混)(特指)(別定),
199905010711,1999年2月20日,11,第49回ダイヤモンドS,G3,芝左,3200,晴,良,15:40,1回東京7日目,4歳以上オープン(混)[指](ハンデ),
199905010811,1999年2月21日,11,第34回デイリー杯クイーンC,G3,芝左,1600,晴,良,15:40,1回東京8日目,4歳オープン(混),
199905020211,1999年4月25日,11,第17回NZT4歳S,G2,芝左,1400,晴,重,15:40,2回東京2日目,4歳オープン(混),
199905020311,1999年5月1日,11,第34回サンスポ4歳牝馬特別,G2,芝左,2000,晴,良,15:40,2回東京3日目,4歳オープン牝(指)(定量),
199905020511,1999年5月8日,11,第6回テレビ東京杯青葉賞,G3,芝左,2400,晴,良,15:40,2回東京5日目,4歳オープン(指)(定量),
199905020711,1999年5月15日,11,第44回京王杯スプリングC,G2,芝左,1400,曇,良,15:40,2回東京7日目,4歳以上オープン(国際)(指)(別定),
199905020811,1999年5月16日,11,第4回NHKマイルカップ,G1,芝左,1600,曇,良,15:35,2回東京8日目,4歳オープン(混),
199905030111,1999年5月22日,11,第4回武蔵野ステークス,G3,ダ左,2100,晴,良,15:40,3回東京1日目,4歳以上オープン(混)(指)(別定),
199905030411,1999年5月30日,11,第60回優駿牝馬,G1,芝左,2400,晴,良,15:35,3回東京4日目,4歳オープン牝(指)(定量),
199905030511,1999年6月5日,11,第16回エプソムカップ,G3,芝左,1800,晴,良,15:40,3回東京5日目,4歳以上オープン(混)[指](別定),
199905030609,1999年6月6日,9,第66回東京優駿,G1,芝左,2400,晴,良,15:30,3回東京6日目,4歳オープン牡・牝(指)(定量),
199905030710,1999年6月12日,10,第1回東京ハイジャンプ,J.G2,障芝,3300,晴,良,15:05,3回東京7日目,障害4歳以上オープン(混)(別定),
199905030711,1999年6月12日,11,第113回目黒記念,G2,芝左,2500,晴,良,15:40,3回東京7日目,4歳以上オープン(混)[指](ハンデ),
199905030811,1999年6月13日,11,第49回安田記念,G1,芝左,1600,晴,良,15:35,3回東京8日目,4歳以上オープン(国際)(指)(定量),
199905040211,1999年10月10日,11,第50回毎日王冠,G2,芝左,1800,晴,良,15:40,4回東京2日目,4歳以上オープン(国際)(指)(別定),
199905040411,1999年10月17日,11,第47回府中牝馬ステークス,G3,芝左,1800,曇,良,15:40,4回東京4日目,4歳以上オープン(混),
